Strategy,Symbol,TF,Trades,WinRate,PnL,PF,Return
S7_WT+ST+HMA,EURUSD,H4,1,0.0,-276.1448415715145,0.0,-2.761448415715149
S7_WT+ST+HMA,GBPUSD,H4,1,0.0,-293.42551182979753,0.0,-2.9342551182979695
S1_ST+HMA,BTCUSD,H4,4,25.0,-312.39105625324066,0.1908642202917245,-3.1239105625324193
S7_WT+ST+HMA,US30,H1,2,0.0,-320.881217893129,0.0,-3.208812178931294
S2_ST+HMA+WT+MACD,BTCUSD,H4,4,25.0,-323.4379901601946,0.13201906237489963,-3.234379901601951
S8_ST+ALL_Cons,BTCUSD,H4,4,25.0,-329.60723736284865,0.10072763037108948,-3.296072373628467
S8_ST+ALL_Cons,US30,M15,15,26.666666666666668,-342.5226358926708,0.740619287774458,-3.425226358926702
S5_HMA+ST+MACD,US30,H1,3,0.0,-381.98528955667473,0.0,-3.8198528955667466
S3_UT+HMA+WT+MACD,US30,H1,4,25.0,-390.0576726490093,0.18210050244107284,-3.9005767264900717
S2_ST+HMA+WT+MACD,EURUSD,H1,18,33.33333333333333,-392.7503416788928,0.7517295573923097,-3.9275034167889316
S2_ST+HMA+WT+MACD,US30,M15,17,29.411764705882355,-419.5158850697278,0.7184839913007212,-4.19515885069728
S7_WT+ST+HMA,USDJPY,H1,9,33.33333333333333,-421.6577318672069,0.48276477625652503,-4.2165773186720985
S6_MACD+ST+HMA,US30,M15,11,27.27272727272727,-421.65823793796733,0.5828100954041233,-4.21658237937967
S4_UT+ST+HMA+MACD,US30,H1,4,25.0,-428.43546039995647,0.118943199628785,-4.284354603999564
S6_MACD+ST+HMA,EURUSD,H1,8,25.0,-518.4900071489692,0.45584705703094,-5.184900071489701
S7_WT+ST+HMA,US30,M15,15,26.666666666666668,-524.2293403356451,0.5805079154843592,-5.24229340335647
S2_ST+HMA+WT+MACD,BTCUSD,H1,17,35.294117647058826,-529.3082734498496,0.6024608752139078,-5.293082734498512
S3_UT+HMA+WT+MACD,EURUSD,H1,21,28.57142857142857,-553.8384170881027,0.7410067548713509,-5.538384170881018
S5_HMA+ST+MACD,US30,M15,15,33.33333333333333,-598.699746885847,0.5412934907696287,-5.986997468858463
S7_WT+ST+HMA,BTCUSD,M15,87,42.5287356321839,-632.6814180305746,0.9153487803846425,-6.326814180305791
S6_MACD+ST+HMA,BTCUSD,M15,67,41.7910447761194,-766.556457458281,0.8570217815769899,-7.6655645745828584
S4_UT+ST+HMA+MACD,EURUSD,H1,21,28.57142857142857,-783.2529065889006,0.5978545966841584,-7.8325290658889575
S3_UT+HMA+WT+MACD,US30,M15,14,14.285714285714285,-944.3311595677919,0.4251553989100279,-9.443311595677933
S4_UT+ST+HMA+MACD,BTCUSD,M15,121,42.97520661157025,-1054.8734146887284,0.8980601151944034,-10.548734146887256
S4_UT+ST+HMA+MACD,US30,M15,15,20.0,-1224.384110892227,0.19067985450492433,-12.243841108922279
S8_ST+ALL_Cons,BTCUSD,M15,92,34.78260869565217,-1660.5646211590351,0.749017745087187,-16.605646211590354
S2_ST+HMA+WT+MACD,BTCUSD,M15,114,39.473684210526315,-1928.3661962418935,0.7884043431110134,-19.283661962418876
S3_UT+HMA+WT+MACD,BTCUSD,M15,121,35.53719008264463,-2286.351980719391,0.7896409888841437,-22.863519807193924
S1_ST+HMA,BTCUSD,M15,112,36.607142857142854,-2356.1775494972167,0.7613085916246664,-23.561775494972206
