Strategy,Symbol,Timeframe,Trades,Win_Rate,PnL_Pct,Profit_Factor,Max_Drawdown,Sharpe_Ratio,Avg_Win,Avg_Loss,Max_Consec_Wins,Max_Consec_Losses,Score
WT+ST+HMA+MACD,USDJPY,H4,184,44.02,5.54,1.06,23.68,0.41,1.86,-1.38,5,9,12.72
WT+ST+HMA,USDJPY,H4,184,44.02,5.54,1.06,23.68,0.41,1.86,-1.38,5,9,12.72
ST1.5+HMA+WT+MACD,BTCUSD,H1,1249,42.51,14.53,1.03,46.3,0.24,1.82,-1.3,9,14,12.6
HMA+ST+WT+MACD,USDJPY,H4,146,41.78,3.87,1.05,14.88,0.37,1.98,-1.35,8,7,12.5
MACD+UT+WT,BTCUSD,H1,895,43.35,11.02,1.03,38.99,0.24,1.81,-1.34,8,11,12.5
MACD+ST+HMA,GBPUSD,H4,156,42.31,4.2,1.05,17.5,0.38,1.96,-1.37,7,6,12.47
ST+HMA+WT+MACD_tight,US30,H4,49,38.78,4.06,1.11,14.74,0.75,2.69,-1.53,5,6,12.23
ST_solo+HMA_tight,US30,H4,49,38.78,4.06,1.11,14.74,0.75,2.69,-1.53,5,6,12.23
HMA21+ST+WT+MACD,USDJPY,H4,175,42.29,1.72,1.03,13.56,0.23,1.92,-1.36,4,8,11.97
UT+HMA+WT+MACD_default,GBPUSD,H4,184,41.85,2.55,1.04,15.71,0.26,1.99,-1.38,5,9,11.93
ST+EMA200+HMA,US30,H1,228,39.47,7.61,1.06,26.74,0.42,2.1,-1.29,5,6,11.92
UT+EMA200+MACD,GBPUSD,H4,192,41.67,2.61,1.04,15.71,0.26,2.01,-1.39,5,7,11.9
HMA+ST+WT+MACD,BTCUSD,M15,370,42.97,6.2,1.04,30.01,0.29,1.85,-1.34,7,11,11.9
MACD+ST+HMA,USDJPY,H1,578,42.73,5.65,1.03,27.6,0.22,1.88,-1.36,6,10,11.85
HMA+UT+WT,USDJPY,H4,150,42.0,2.41,1.04,16.9,0.28,1.95,-1.36,5,7,11.82
UT_fast+ST+HMA,GBPUSD,H4,199,41.21,5.1,1.05,23.94,0.36,2.26,-1.51,4,8,11.8
ST+HMA+WT+MACD_tight,BTCUSD,H1,1100,41.55,14.57,1.04,52.43,0.26,2.24,-1.53,8,13,11.78
HMA+UT+WT,EURUSD,M15,355,40.56,7.23,1.05,29.2,0.32,1.99,-1.3,7,12,11.72
ST+HMA+WT+MACD_default,US30,H1,226,39.38,6.56,1.06,27.8,0.39,2.1,-1.29,5,6,11.44
ST+HMA+WT_only,US30,H1,226,39.38,6.56,1.06,27.8,0.39,2.1,-1.29,5,6,11.44
ST+HMA+WT+MACD_tight,USDJPY,H1,712,40.73,10.21,1.04,41.23,0.27,2.26,-1.49,5,10,11.4
UT_fast+ST+HMA,USDJPY,H4,185,42.16,3.16,1.04,26.18,0.29,2.22,-1.56,5,13,11.17
ST1.5+HMA+WT+MACD,BTCUSD,H4,285,42.81,4.98,1.04,33.79,0.29,1.9,-1.37,7,8,11.12
HMA+UT+WT,GBPUSD,H4,168,40.48,1.11,1.03,15.53,0.2,2.01,-1.33,5,6,11.11
UT+ALL_conservative,GBPUSD,H4,153,39.22,2.57,1.04,19.52,0.29,1.77,-1.09,4,9,10.93
ST_solo+HMA_tight,BTCUSD,H1,1092,41.48,12.43,1.03,54.53,0.24,2.24,-1.53,8,13,10.9
MACD+ST+HMA+WT,USDJPY,H1,567,42.5,2.97,1.03,28.25,0.18,1.88,-1.35,6,10,10.88
ST_solo+HMA_tight,USDJPY,H1,709,40.62,8.58,1.04,41.87,0.25,2.26,-1.49,5,10,10.8
ST1.5+HMA+WT+MACD,US30,H1,256,39.06,3.62,1.04,23.72,0.26,1.99,-1.23,5,7,10.76
ST+HMA+WT+MACD_wide,BTCUSD,H4,257,40.86,2.71,1.03,25.42,0.23,1.78,-1.19,5,8,10.73
ST+HMA+MACD_only,US30,H1,238,39.5,4.26,1.04,27.42,0.3,2.06,-1.29,5,7,10.72
ST+WT+MACD_only,US30,H1,238,39.5,4.26,1.04,27.42,0.3,2.06,-1.29,5,7,10.72
ST+UT+HMA,US30,H1,238,39.5,4.26,1.04,27.42,0.3,2.06,-1.29,5,7,10.72
MACD+UT+WT,USDJPY,H1,584,42.64,2.33,1.02,29.0,0.17,1.87,-1.36,7,10,10.63
HMA+UT+WT,BTCUSD,M15,382,42.93,3.99,1.03,35.43,0.23,1.84,-1.34,5,10,10.63
ST_solo+HMA_tight,USDJPY,H4,169,42.01,0.24,1.02,22.76,0.17,2.18,-1.54,4,10,10.47
HMA21+ST+WT+MACD,GBPUSD,H4,167,40.12,0.71,1.03,21.44,0.18,2.06,-1.35,4,8,10.28
ST+HMA+WT+MACD_tight,USDJPY,M15,308,39.94,3.34,1.03,30.51,0.24,2.37,-1.53,5,10,10.19
UT+ST+WT,GBPUSD,H4,174,41.38,-1.52,1.01,20.96,0.06,1.99,-1.39,6,7,9.86
ST+HMA+WT+MACD_tight,GBPUSD,H4,172,39.53,-0.73,1.02,19.93,0.13,2.37,-1.53,4,7,9.8
ST_solo+HMA_tight,GBPUSD,H4,172,39.53,-0.73,1.02,19.93,0.13,2.37,-1.53,4,7,9.8
ST+HMA+WT+MACD_wide,USDJPY,H1,709,39.63,4.09,1.03,35.61,0.18,1.74,-1.11,8,8,9.76
ST+HMA+WT+MACD_tight,USDJPY,H4,170,41.76,-1.33,1.01,23.97,0.09,2.18,-1.54,4,10,9.74
WT+ST+HMA,USDJPY,H1,739,42.49,2.74,1.02,45.54,0.17,1.9,-1.37,7,11,9.07
ST3.0+HMA+WT+MACD,BTCUSD,H4,120,41.67,-5.27,0.97,16.57,-0.23,2.05,-1.51,4,6,8.95
MACD+ST+HMA+WT,BTCUSD,H1,868,42.86,-0.51,1.02,39.98,0.13,1.82,-1.34,8,11,8.7
ST3.0+HMA+WT+MACD,US30,M15,45,37.78,-3.21,0.94,13.7,-0.43,2.29,-1.47,3,6,8.67
UT_solo+ST_tight,USDJPY,H4,141,40.43,-3.45,1.0,24.28,-0.04,2.3,-1.57,4,11,8.61
ST_solo+HMA_tight,USDJPY,M15,307,39.74,-1.45,1.02,30.51,0.12,2.35,-1.53,5,10,8.58
